code_b10,name_b10,w_b10,code_b23,name_b23,w_b23
_0321101,Zapatos para hombre,1.06972,_0321102,Zapato tipo mocasín para hombre,0.059300191
_0321101,Zapatos para hombre,1.06972,_0321103,Botas y botines para hombre,0.098596844
_0321101,Zapatos para hombre,1.06972,_0321104,Tenis (Zapatillas) para hombre,0.324069402
_0321101,Zapatos para hombre,1.06972,_0321105,"Sandalias (chanclas, caites, pantuflas) para hombre",0.044184083
_0321201,Zapatos varios para mujer,0.10553,_0321201,Zapatos casuales para mujer,0.037277742
_0321202,Zapatos para mujer,0.10553,_0321202,Zapatos de tacón alto y bajo para mujer,0.190792768
_03212,Calzado para mujer,0.88883,_0321203,Sandalias con o sin tacón para mujer,0.072290037
_03212,Calzado para mujer,0.88883,_0321204,Botas o botines con y sin tacón para mujer,0.030938935
_03212,Calzado para mujer,0.88883,_0321205,"Chanclas, caites, pantuflas para mujer",0.066473997
_0321203,Zapatos varios para mujer,0.30705,_0321206,Tenis (Zapatillas) para mujer,0.190948411
_03213,Calzado para niño y niña,0.50251,_0321301,"Zapatos casuales (incluye sandalias, chanclas, caites y pantuflas) para niños (menores a 13 años)",0.018646773
_03213,Calzado para niño y niña,0.50251,_0321302,Zapatos escolares para niños (menores a 13 años),0.029522517
_03213,Calzado para niño y niña,0.50251,_0321303,Tenis (Zapatillas) para niÃ±os (menores a 13 aÃ±os),0.07595598
_0411101,Alquiler de vivienda,3.05838,_0411101,Alquiler de vivienda,2.563204553
_0421101,Materiales diversos para reparación  de vivienda,0.95035,_0431101,Pintura (de agua o aceite),0.027827208
_0421101,Materiales diversos para reparación  de vivienda,0.95035,_0431102,Cemento,0.256606899
_0421101,Materiales diversos para reparación  de vivienda,0.95035,_0431104,Block,0.165548144
_0421101,Materiales diversos para reparación  de vivienda,0.95035,_0431103,Cal,0.150994521
_0421101,Materiales diversos para reparación  de vivienda,0.95035,_0431105,Otros productos y materiales para reparación y mantenimiento,0.379194251
_04211,Materiales diversos para reparación de vivienda,1.13589,_0431107,Madera,0.035482602
_04211,Materiales diversos para reparación de vivienda,1.13589,_0431108,Pisos,0.06203335
_0421103,Artículos para electricidad y grifería,0.05534,_0431106,Artículos de plomería,0.037998503
_0421103,Artículos para electricidad y grifería,0.05534,_0552201,Bombillas,0.096382755
_0422101,Servicio de mantenimiento de vivienda,0.7796,_0432101,Servicios de mantenimiento y reparación de viviendas,0.6077799
_0422101,Servicio de mantenimiento de vivienda,0.7796,_0432102,Servicio de vigilancia residencial,0.091127999
_0431101,Agua potable,0.75775,_0441101,Pago por consumo de agua,0.53324564
_0431101,Agua potable,0.75775,_0441201,Compra de agua para el hogar por otros medios (no agua para beber),0.084567517
_0432101,Servicio de retiro de basura,0.23389,_0442001,Pago por servicio de recolección de basura,0.222979132
_0441101,Servicio de electricidad,3.29469,_0451001,Consumo de energía eléctrica,2.482532881
_0442101,Gas propano,1.19963,_0452201,Gas en contenedores,1.144911646
_0443101,Carbón,0.02683,_0454101,Carbón,0.033619863
_0443102,Leña,2.12782,_0454201,Leña,2.095011993
_04431,Otros combustibles de uso doméstico,2.15465,_0454202,Ocote,0.070330003
_05111,Muebles y artículos para amueblar,0.52582,_0511104,Muebles de dormitorio,0.410173305
_0511103,Juego de comedor,0.02852,_0511102,Muebles de comedor,0.057787605
_0511104,Muebles para cocina,0.04743,_0511103,Muebles de cocina,0.047208065
_0511105,Juegos de sala,0.07145,_0511101,Muebles de sala,0.076664123
_0511202,"Puertas, lamparas y varios",0.07586,_0431109,Puertas y ventanas,0.114310869
_05211,"Tejidos para cama, cocina, comedor",0.41764003,_0521201,Ropa de cama,0.206479476
_0521104,Mantel,0.07037,_0521301,Manteles,0.055752167
_0521105,Cortinas,0.03955,_0521101,Cortinas,0.037010363
_0522101,Estufa,0.16627,_0531102,Estufas,0.176020591
_0522102,Refrigerador,0.27033,_0531101,Refrigeradores y refrigeradores de temperatura dual,0.217135244
_0522103,Lavadora,0.12162,_0531201,Lavadoras,0.137550231
_0523101,Horno de microondas,0.04205,_0531103,Hornos pequeños,0.034504439
_0523102,Licuadora,0.00722,_0532101,Licuadoras,0.067713958
_0523103,Ventilador,0.01391,_0532901,Ventiladores,0.024191177
_0531101,Vajillas,0.06167,_0540101,Vajillas,0.122889844
_0531102,Baterias de cocina,0.16766,_0540301,Ollas y cacerolas,0.173192925
_0531103,Juegos de vasos,0.04953,_0540304,Vasos y tazas de plástico y melamina,0.0497263
_0531104,Utencilios de cocina ,0.09689,_0540302,Sartenes,0.107465351
_0531104,Utencilios de cocina ,0.09689,_0540303,Ollas a presión,0.042278987
_0541101,Barreno eléctrico,0.00198,_0551001,Herramienta eléctrica,0.092935214
_05412,Herramientas manuales,0.024500003,_0552101,Herramientas no motorizadas,0.116457955
_0551101,Aromatizador y desinfectante,0.0316,_0561901,Aromatizante ambiental,0.020883931
_0551102,Detergente para ropa,1.96872,_0561101,Detergente en polvo o líquido,0.783069234
_0551102,Detergente para ropa,1.96872,_0561102,Jabón para ropa,0.695875321
_0551102,Detergente para ropa,1.96872,_0561106,Suavizantes de ropa,0.184133204
_0551103,Jabón varias clases,0.30491,_0561105,"Jabón para trastos en crema, líquido, trozo y polvo",0.294385039
_0551201,Artículos para limpieza del hogar,0.62636,_0561103,Desinfectante,0.240132167
_0551201,Artículos para limpieza del hogar,0.62636,_0561104,Cloro,0.317825466
_0551201,Artículos para limpieza del hogar,0.62636,_0561107,Escobas,0.095740583
_0551201,Artículos para limpieza del hogar,0.62636,_0561108,Esponjas,0.039998811
_0551202,Fosforos,0.12998,_0561907,Fósforos y/o cerillos,0.096708793
_0551203,Servilletas de papel,0.06648,_0561903,Papel de cocina,0.056870002
_0551204,Veladoras y candelas,0.17985,_0561905,Veladoras,0.021881179
_0551204,Veladoras y candelas,0.17985,_0561906,Velas y candelas,0.052945267
_0552101,Servicio doméstico por mes,0.01608,_0562101,Servicio para el hogar,0.638644212
_05112,Artículos y adornos para el hogar,0.07927,_0511401,Espejos,0.03299393
_05211,"Tejidos para cama, cocina, comedor",0.41764003,_0521202,Hamacas,0.036929204
_0551201,Artículos para limpieza del hogar,0.62636,_0521302,Toallas de tela,0.041925205
_0551201,Artículos para limpieza del hogar,0.62636,_0561902,"Insecticidas, pesticidas, fungicidas",0.045640358
_0531104,Utencilios de cocina ,0.09689,_0561904,Papel aluminio,0.03594719
_05512,Accesorios y utencilios para el hogar,1.00267,_0561908,Lazos y cordeles para tender ropa,0.032347926
_0611101,Analgésico y antiinflamatorio,0.18978,_0611110,Medicamentos para la diabetes,0.404922455
_0611102,Antiacido y antiulceroso,0.11085,_0611117,Medicamentos gastrointestinales,0.178529268
_0611103,Antialérgico,0.03747,_0611125,Loratadina,0.018685753
_0611104,Antibiótico,0.28968,_0611118,Amoxicilina,0.121229514
_0611104,Antibiótico,0.28968,_0611119,Penicilina,0.020108818
_0611104,Antibiótico,0.28968,_0611120,Trimetoprim y/o sulfametoxazol,0.023297237
_0611105,Antigripal,0.3175,_0611101,Acetaminofén (Paracetamol),0.219347575
_0611105,Antigripal,0.3175,_0611102,Diclofenaco,0.094406151
_0611105,Antigripal,0.3175,_0611103,Ibuprofeno,0.104261574
_0611106,Antihipertensor,0.27507,_0611106,Losartán,0.030031559
_0611106,Antihipertensor,0.27507,_0611107,Irbesartán,0.041933216
_0611106,Antihipertensor,0.27507,_0611108,Valsartán,0.050501086
_0611106,Antihipertensor,0.27507,_0611109,Enalapril,0.031673334
_0611108,Dermatológico,0.0517,_0611113,Medicamentos dermatológicos,0.055372561
_0611109,Mucolítico y broncodilatador,0.20233,_0611104,Ambroxol y Bromhexina,0.059738501
_0611109,Mucolítico y broncodilatador,0.20233,_0611105,Dextrometorfano y/o guaifenesina,0.049119216
_0611110,Vitaminas y minerales,0.69252,_0611114,"Vitaminas, multivitamínicos y minerales",1.229240631
_0611110,Vitaminas y minerales,0.69252,_0611201,Medicamentos naturales y homeopáticos,0.122302392
_06111,Medicamentos,2.2283,_0611112,Medicamentos oftalmológicos,0.086078512
_0612102,Preservativos,0.0466,_0611124,"Anticonceptivos (orales, inyectables, subdérmicos y subcutáneos)",0.028890742
_0613101,Lentes de corrección,0.1569,_0613101,Lentes correctivos completos y por separado (aros o lentes),0.231009035
_0621101,Consulta médica,0.52042,_0621902,Consulta con pediatra,0.154340589
_0621101,Consulta médica,0.52042,_0621903,Consulta con cardiólogo,0.086069359
_0621101,Consulta médica,0.52042,_0621904,Consulta con gastroenterólogo,0.119299897
_0621101,Consulta médica,0.52042,_0621905,Consulta con oftalmólogo,0.07851672
_0621101,Consulta médica,0.52042,_0621906,Consulta con endocrinólogo,0.060517476
_0621101,Consulta médica,0.52042,_0621907,Consulta con traumatólogo,0.09645616
_0621101,Consulta médica,0.52042,_0621908,Consulta con neumólogo,0.067676233
_0621101,Consulta médica,0.52042,_0621909,Consulta con médico general internista,0.043522899
_0621102,Consulta con ginecólogo,0.06713,_0621901,Consulta con ginecólogo y obstetra,0.142502639
_0622101,Consulta odontológica,0.11788,_0622101,Limpieza dental,0.081589092
_0622102,Tratamiento odontológico,0.16005,_0622902,Servicio de relleno dental,0.11388159
_0622102,Tratamiento odontológico,0.16005,_0622903,Servicio de ortodoncia (Brackets y retenedores),0.108922463
_0622102,Tratamiento odontológico,0.16005,_0622901,Servicio extracción dental,0.079032003
_0622102,Tratamiento odontológico,0.16005,_0622904,Servicio de endodoncia,0.04626327
_0622102,Tratamiento odontológico,0.16005,_0622905,Servicio de implantes dentales,0.104912612
_0623101,Exámen de radiología y otros,0.20773,_0641201,Radiografía,0.074911192
_0623101,Exámen de radiología y otros,0.20773,_0641202,Ultrasonido,0.119548345
_0623101,Exámen de radiología y otros,0.20773,_0641203,Electrocardiograma,0.026697583
_0623101,Exámen de radiología y otros,0.20773,_0641204,Tomografía,0.048564219
_0623101,Exámen de radiología y otros,0.20773,_0641205,Resonancia,0.033717528
_0623102,Exámen de laboratorio clínico,0.20961,_0641101,Exámenes de sangre,0.316657893
_0623102,Exámen de laboratorio clínico,0.20961,_0641102,Otros exámenes de laboratorio,0.03490431
_0631101,Servicio de hospitalización,0.27852,_0631002,Parto con cesárea,0.067513754
_0631101,Servicio de hospitalización,0.27852,_0631004,Hospitalización con cirugía,0.486057523
_0631101,Servicio de hospitalización,0.27852,_0631003,Hospitalización sin cirugía,0.30751061
_06111,Medicamentos,2.2283,_0611111,Medicamentos neurológicos o neurofármacos,0.103469286
_06111,Medicamentos,2.2283,_0611115,Medicamentos para huesos y articulaciones,0.05773908
_06111,Medicamentos,2.2283,_0611116,Medicamentos relajantes musculares,0.045114046
_06121,Otros productos médicos,0.10521,_0611121,Alcohol medicinal,0.048708164
_06111,Medicamentos,2.2283,_0611122,Mercurio cromo,0.091781349
_06111,Medicamentos,2.2283,_0611123,Mertiolate o metafe,0.091781349
_06131,Artefactos y equipos terapéuticos,0.1569,_0612201,Dispositivos o productos terapéuticos,0.231310889
_06111,Medicamentos,2.2283,_0612301,Otros dispositivos de tratamiento para uso personal,0.05350333
_06121,Otros productos médicos,0.10521,_0612302,Productos para botiquín,0.036850516
_06111,Medicamentos,2.2283,_0613301,Productos para incontinencia,0.054916384
_06311,Servicio de hospitalización,0.44952,_0631001,Parto normal,0.061595753
_06311,Servicio de hospitalización,0.44952,_0631005,Hospitalización por cuadro respiratorio,0.106050787
_0711101,Automóvil y pick up,2.54274,_0711101,Vehículo nuevo,0.569496619
_0711101,Automóvil y pick up,2.54274,_0711102,Pick up nuevo,0.559874937
_0711101,Automóvil y pick up,2.54274,_0711103,Camioneta nueva,0.710739191
_0712101,Motocicletas,0.48733,_0712001,Motocicleta,0.820190236
_0713101,Bicicletas,0.06749,_0713001,Bicicleta,0.043872977
_0721101,Repuestos para vehículos en general (amortiguador),0.1319,_0721202,Amortiguadores,0.06162935
_0721101,Repuestos para vehículos en general (amortiguador),0.1319,_0721203,Otros repuestos para equipo de transporte personal,0.084957535
_0721101,Repuestos para vehículos en general (amortiguador),0.1319,_0721101,Llantas nuevas,0.31166258
_0721103,Baterías y lubricantes,0.11669,_0721201,Baterías,0.089248756
_0721103,Baterías y lubricantes,0.11669,_0722401,Aceite de motor,0.030503196
_0721103,Baterías y lubricantes,0.11669,_0722402,Líquido de frenos,0.037523604
_0722101,Gasolina superior,2.06641,_0722201,Gasolina,3.45350926
_0722103,Diesel,0.13937,_0722101,Diesel,0.228965625
_0723101,Servicio de mantenimiento de automóvil,0.43832,_0723103,Servicio menor,0.294716405
_0723101,Servicio de mantenimiento de automóvil,0.43832,_0723104,Servicio de frenos,0.119592796
_0723102,Reparación de automóvil,0.30621,_0723105,Montaje de piezas/accesorios,0.064091062
_0723102,Reparación de automóvil,0.30621,_0723106,Otros servicios de mantenimiento y reparación de vehículos,0.12772243
_0723103,Lavado de automóvil,0.05681,_0723101,Lavado y lustrado de vehículos,0.108861757
_0724101,Parqueo,0.10859,_0724101,Alquiler de estacionamiento,0.077627766
_0724101,Parqueo,0.10859,_0724102,Pago de parqueo,0.030159725
_0724201,Servicio de pinchazo,0.04865,_0723102,Servicio de pinchazo,0.056874846
